Total Time :12.212115316
New or Changed Entity :4051
Test To Run :1211
1 - org.apache.commons.io.FileUtilsTestCase.testMoveFile_CopyDelete_Failed 36  FAILURE Original exists,
56 - org.apache.commons.io.IOUtilsWriteTestCase.testWriteLines_Writer_nullSeparator 0  SUCCESSFUL 
57 - org.apache.commons.io.input.CountingInputStreamTest.testEOF3 0  SUCCESSFUL 
58 - org.apache.commons.io.filefilter.FileFilterTestCase.testFalse 1  SUCCESSFUL 
59 - org.apache.commons.io.FileUtilsCleanSymlinksTestCase.testCorrectlyIdentifySymlinkWithParentSymLink 32  FAILURE 
60 - org.apache.commons.io.input.TeeInputStreamTest.testReadOneByte 0  SUCCESSFUL 
61 - org.apache.commons.io.input.CountingInputStreamTest.testEOF1 0  SUCCESSFUL 
62 - org.apache.commons.io.input.CountingInputStreamTest.testEOF2 0  SUCCESSFUL 
63 - org.apache.commons.io.IOUtilsWriteTestCase.testWriteLines_Writer_nullData 0  SUCCESSFUL 
64 - org.apache.commons.io.filefilter.FileFilterTestCase.testCanWrite 3  SUCCESSFUL 
65 - org.apache.commons.io.FilenameUtilsTestCase.testSeparatorsToSystem 4  FAILURE File does not exist: /Users/demigorgan/Documents/workspace/tldr/test/io/list_test/f.txt,
66 - org.apache.commons.io.LineIteratorTestCase.testTwoLines 2  SUCCESSFUL 
67 - org.apache.commons.io.input.BOMInputStreamTest.testMarkResetAfterReadWithBOM 0  SUCCESSFUL 
68 - org.apache.commons.io.output.XmlStreamWriterTest.testUTF16LEEncoding 1  SUCCESSFUL 
69 - org.apache.commons.io.FileUtilsTestCase.testDeleteQuietlyDir 3  SUCCESSFUL 
70 - org.apache.commons.io.IOUtilsTestCase.testSkipStream 5  SUCCESSFUL 
71 - org.apache.commons.io.FileUtilsCleanSymlinksTestCase.testCleanDirWithSymlinkFile 21  FAILURE 
72 - org.apache.commons.io.FileUtilsTestCase.testGetTempDirectoryPath 2  SUCCESSFUL 
73 - org.apache.commons.io.filefilter.FileFilterTestCase.testSizeFilter 125  SUCCESSFUL 
74 - org.apache.commons.io.FilenameUtilsTestCase.testConcat 2  SUCCESSFUL 
75 - org.apache.commons.io.IOUtilsWriteTestCase.testWrite_stringToWriter 0  SUCCESSFUL 
76 - org.apache.commons.io.input.TeeInputStreamTest.testReadToArrayWithOffset 0  SUCCESSFUL 
77 - org.apache.commons.io.FileSystemUtilsTestCase.testGetFreeSpaceWindows_String_StripDrive 29  SUCCESSFUL 
78 - org.apache.commons.io.input.BOMInputStreamTest.testMarkResetBeforeReadWithBOM 0  SUCCESSFUL 
79 - org.apache.commons.io.FileUtilsTestCase.testForceMkdir 2  SUCCESSFUL 
80 - org.apache.commons.io.filefilter.FileFilterTestCase.testDelegateFileFilter 4  SUCCESSFUL 
81 - org.apache.commons.io.FileUtilsTestCase.testWriteLines_5argsWithAppendOptionTrue_ShouldNotDeletePreviousFileLines 3  SUCCESSFUL 
82 - org.apache.commons.io.output.CountingOutputStreamTest.testLargeFiles_IO84 79  SUCCESSFUL 
83 - org.apache.commons.io.input.SwappedDataInputStreamTest.testReadFloat 0  SUCCESSFUL 
84 - org.apache.commons.io.LineIteratorTestCase.testNextOnly 3  SUCCESSFUL 
85 - org.apache.commons.io.input.CountingInputStreamTest.testZeroLength3 0  SUCCESSFUL 
86 - org.apache.commons.io.input.CountingInputStreamTest.testZeroLength2 0  SUCCESSFUL 
87 - org.apache.commons.io.input.CountingInputStreamTest.testZeroLength1 0  SUCCESSFUL 
88 - org.apache.commons.io.FileUtilsTestCase.testGetUserDirectory 4  FAILURE File does not exist: /Users/demigorgan/Documents/workspace/tldr/test/io/testMoveDirectorySource,
89 - org.apache.commons.io.FileUtilsTestCase.testMoveFile_Rename 5  SUCCESSFUL 
90 - org.apache.commons.io.filefilter.FileFilterTestCase.testFilterSet 5  SUCCESSFUL 
